Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name
04-10-2016,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,30,Kleeto
05-10-2016,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,9.6,Zivame
06-10-2016,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding Round,2.4,Jobspire
06-10-2016,E-commerce,Used Furniture & Appliances Marketplace,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,8.4,Clapsnslaps
07-10-2016,Technology,Baby Monitoring Devices manufacturer,Bangalore,HAX Accelerator,Seed Funding Round,0.8,Blubox
07-10-2016,Technology,Sports Training & Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,17.6,Roomcentral
07-10-2016,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,120,Youthkiawaaz
10-10-2016,E-commerce,Online Hair Extension etailer,New Delhi,undisclosed investor,Seed Funding Round,3,Mockbank
11-10-2016,Consumer Internet,Internet-based TV streaming service provider,Bangalore,Emerald Media,Private Equity,400,Onlinetyari
11-10-2016,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding Round,4,The/Nudge Foundation
13-10-2016,E-commerce,online fashion brand store,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,16,Canvasflip
13-10-2016,Technology,waterless car washing solution,Ahmedabad,Virendra Patel,Seed Funding Round,3.6,Tea Trails
14-10-2016,Consumer Internet,Online News portal,New Delhi,Undisclosed,Seed Funding Round,0.2,Chaipoint
14-10-2016,Consumer Internet,API Platform,Bangalore,Nexus Venture Partners,Private Equity,56,Wedmegood.Com
14-10-2016,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,48,Xstok
15-10-2016,Consumer Internet,Vernacular content mobile app,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,200,Labstreet
15-10-2016,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed Funding Round,1.82,Portea Medical
15-10-2016,Consumer Internet,Internet & Fresher Job platform,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding Round,8,Neotrade Analytics
17-10-2016,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemant Sahni,Seed Funding Round,2.4,Furdo
17-10-2016,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,128,Loginext
18-10-2016,Technology,3D Printing Solutions for Edu space,New Delhi,Newbie Promoters,Seed Funding Round,1.2,Korra
18-10-2016,Technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,20,Quintype
19-10-2016,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,6,Zakoopi
21-10-2016,Consumer Internet,Hyperlocal\\xc2\\xa0 Communication Mobile app,Mumbai,Janak Jain,Seed Funding Round,2.4,Wizrocket
25-10-2016,E-commerce,Invoice discounting marketplace,Bangalore,Sequoia Capital,Private Equity,48,Doormint
25-10-2016,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding Round,4,Sunday Realty Solutions
25-10-2016,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding Round,0.8,Carlxe2X80X99S Jr
26-10-2016,Consumer Internet,Social Media Marketing platform,New Delhi,Undisclosed investor,Seed Funding Round,8,Easyrewardz
26-10-2016,E-commerce,Online Tea Etailer,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,8,Mypoolin
27-10-2016,Consumer Internet,Doctor Consulting platform,Bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd",Private Equity,5.6,Nearbuy (Previouslyxc2Xa0 Groupon India)
29-10-2016,Technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed Funding Round,0.8,Allygrow Technologies
29-10-2016,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding Round,0.8,Infogain
29-10-2016,Technology,Clinical and Wearable Diagnostic Product creator,Bangalore,Kalaari Capital,Seed Funding Round,0.8,Etaout
30-10-2016,Technology,Business intelligence and data science Startup,Bangalore,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,6,Ifmr Holdings
31-10-2016,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh & Others,Seed Funding Round,8,Edu4Share
01-09-2016,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,53.6,Intelligencenode
06-09-2016,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding Round,4,Epoise
07-09-2016,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding Round,4,Revx
07-09-2016,Education,Online Certification programs,Bangalore,InnoVen Capital India,Private Equity,48,Belita
07-09-2016,E-commerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding Round,2.52,Foodtalkindia
08-09-2016,Education,Online Test Preparation platform,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd",Seed Funding Round,5.36,Rollmafia
08-09-2016,E-commerce,Online Construction Materials Marketplace,Bangalore,Idein Ventures,Seed Funding Round,1.6,Reverie
10-09-2016,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed Funding Round,1.2,Bankbazaar
10-09-2016,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Amit Nagar",Seed Funding Round,3.6,Gozoomo
12-09-2016,Consumer Internet,Personal Styling Online platform,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding Round,3.58,Paper Boat
12-09-2016,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,24,Wudstay
12-09-2016,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding Round,2.4,Axtria
13-09-2016,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pvt. Ltd,Private Equity,20,Lybrate
14-09-2016,Consumer Internet,Jobs & Skill Validation platform,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding Round,1.2,Boxmyspace
15-09-2016,Consumer Internet,Employee engagement platform,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta",Seed Funding Round,1.6,Wowexpress
15-09-2016,Consumer Internet,on-demand logistics service provider,Bangalore,Nexus Venture Partners,Private Equity,12,Omnikart
16-09-2016,Consumer Internet,City based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding Round,0.8,Joy By Nature
16-09-2016,Consumer Internet,Online Doctor Consultations,Gurgaon,RoundGlass Partners,Private Equity,8,Degustibus
19-09-2016,Consumer Internet,Couple Socialization App,Bangalore,Accel Partners,Seed Funding Round,6,Myonsto
20-09-2016,E-commerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed Funding Round,4,Flipkart.Com
21-09-2016,Consumer Internet,shared living and working spaces platform,Bangalore,Undisclosed Investors,Seed Funding Round,8,Truehb
21-09-2016,E-commerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding Round,2.38,Pipa Bella
22-09-2016,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,48,Droom.In
22-09-2016,Technology,Mobile Game Publisher for Indian audience,Bangalore,Rebright Partners,Seed Funding Round,3.4,Lazylad
22-09-2016,Technology,Mobile App Development company,Bangalore,Undisclosed investors,Seed Funding Round,8,Prothom
22-09-2016,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,5.96,Bona Vita
23-09-2016,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,48,Veeba Foods
28-09-2016,E-commerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding Round,4,Propstack
28-09-2016,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd,Seed Funding Round,8,Arkin Net
28-09-2016,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,408,Icustomadeit
29-09-2016,E-commerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding Round,1.44,Zopper
29-09-2016,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,12,Applied Solar Technologies
30-09-2016,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,152,Teritree
01-08-2016,E-commerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,96,La Renon
01-08-2016,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding Round,2.2,Couponraja
01-08-2016,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,20,Hansa Customer Equity
02-08-2016,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,14.4,Fundsindia.Com
02-08-2016,Food & Beverages,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding Round,8,Elong
03-08-2016,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding Round,1.8,Goodservice
03-08-2016,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding Round,7.12,Edukart
04-08-2016,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding Round,4,Indix
06-08-2016,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding Round,0.22,Fusion Microfinance
08-08-2016,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd,Seed Funding Round,0.32,Getmypeon
08-08-2016,E-commerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding Round,3.56,Adwyze
11-08-2016,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,56,Seed Schools
11-08-2016,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding Round,1.67,Fintellix
12-08-2016,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,12,Grandopinion
12-08-2016,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,124.8,Zapstitch
12-08-2016,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding Round,4,Plancess
16-08-2016,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,1400,Cooey
16-08-2016,E-commerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,4,Meetuniv
16-08-2016,E-commerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,12,Crown-It
16-08-2016,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding Round,2,Trucksfirst
17-08-2016,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding Round,3,Eveningflavors
17-08-2016,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,5.4,Urbanpro
19-08-2016,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,160,Thekarrier
19-08-2016,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,3,Bluegape
22-08-2016,Health Care,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,296,Pricejugaad
23-08-2016,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding Round,0.8,Olacabs
23-08-2016,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding Round,1.6,Zopnow
24-08-2016,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,8,Commeasure
24-08-2016,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding Round,0.8,Localoye
24-08-2016,E-commerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding Round,4,Robosoft
24-08-2016,E-commerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding Round,4,1Mg (Healthkartplus)
24-08-2016,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,7.2,Sulekha.Com
24-08-2016,E-commerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,24,Eat.Shop.Love
25-08-2016,Health Care,Health and Fitness Centres,Bangalore,CureFit,Private Equity,24,Torqus
26-08-2016,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding Round,4,Naaptol.Com
26-08-2016,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,320,Reglobe
26-08-2016,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding Round,4.4,Tradelab
29-08-2016,Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,56,Vserv
29-08-2016,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,8,Customfurnish.Com
29-08-2016,Consumer Internet,Online portal for Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,120,Mapmygenome
30-08-2016,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding Round,1.19,Crowdfire (Formerly Justunfollow)
30-08-2016,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding Round,0.83,Bite Club
31-08-2016,E-commerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,42.4,Diabetomics
01-07-2016,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding Round,4,Drivestream
02-07-2016,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,5.6,Graphic India
04-07-2016,E-commerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding Round,1.6,Mahindra First Choice
04-07-2016,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,16,Cubito
04-07-2016,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,128,Fxkart.Com
05-07-2016,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,8,Roposo.Com
05-07-2016,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,656,Teewe
06-07-2016,E-commerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,5.92,Chargein
06-07-2016,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding Round,2,Yogurt Labs
06-07-2016,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding Round,2.38,Limeroad.Com
07-07-2016,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund",Private Equity,16,Team Indus
07-07-2016,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,8,Arohan Financial Services
11-07-2016,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,28,Chloroplast Foods
11-07-2016,E-commerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,24,Dealwithus
12-07-2016,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,98,Cleversharks
13-07-2016,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,40,Culture Machine
13-07-2016,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding Round,4.8,Newshunt
13-07-2016,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,40,Nimble Wireless
14-07-2016,E-commerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding Round,3.6,Newsinshorts
14-07-2016,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,8.56,Itraveller.Com
15-07-2016,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding Round,8,Springleap
15-07-2016,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,16,Klip.In
15-07-2016,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,48,Caravan Craft Retail
18-07-2016,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding Round,5.2,Clonect Solutions
18-07-2016,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding Round,5.2,Momoe
18-07-2016,E-commerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,240,Violetstreet
19-07-2016,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,80,Numbermall
19-07-2016,Consumer Internet,nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,120,Tookitaki
19-07-2016,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,8,Frankly
19-07-2016,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding Round,2,Stridalyzer
20-07-2016,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,8,Commonfloor
20-07-2016,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding Round,4.76,Mydreamstore
21-07-2016,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,8,Refiral
21-07-2016,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding Round,4.76,Hostel Dunia
02-06-2016,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,8,Caratlane.Com
02-06-2016,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,8,Grabhouse.Com
03-06-2016,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding Round,0.6,Graphene
03-06-2016,Health Care,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,16,Couponmachine.In
06-06-2016,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding Round,3.58,
07-06-2016,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding Round,0.8,
07-06-2016,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,184,
07-06-2016,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,8,
08-06-2016,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding Round,8,
08-06-2016,E-commerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding Round,4,
08-06-2016,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding Round,1.6,
08-06-2016,E-commerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Private Equity,128,
08-06-2016,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding Round,1.6,
09-06-2016,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding Round,16,
10-06-2016,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,4,
13-06-2016,E-commerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,8,
13-06-2016,Consumer Internet,e-Book Publisher,Banglore,Viridian Capital,Seed Funding Round,0.24,
14-06-2016,Technology,Data Driven Advertising platform,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,48,
14-06-2016,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding Round,8,
14-06-2016,Consumer Internet,Online Alternative health community platform,Bangalore,Accel Partners India,Private Equity,35.2,
15-06-2016,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding Round,3.6,
16-06-2016,Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge (India) Ltd,Private Equity,4.8,
17-06-2016,Consumer Internet,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,96,
17-06-2016,Technology,Home Automation Solutions,Bangalore,Infuse Ventures,Private Equity,7.2,
17-06-2016,Technology,Payroll & HR Software Developer,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,41.6,
21-06-2016,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding Round,1.2,
21-06-2016,Technology,Fintech Product Development & Services Startup,Bangalore,Bitkemy Ventures,Seed Funding Round,3.2,
21-06-2016,Consumer Internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding Round,1.8,
21-06-2016,FMCG,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding Round,1.2,
21-06-2016,E-commerce,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,48,
22-06-2016,Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding Round,1.2,
23-06-2016,Technology,Logistics Management Software,New Delhi,Saif Partners,Private Equity,28,
23-06-2016,Consumer Internet,School Parent Communication App,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding Round,1.68,
24-06-2016,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding Round,0.4,
24-06-2016,Technology,Cloud Data Security & Privacy Solutions,Bangalore,Kalaari Capital,Seed Funding Round,4,
24-06-2016,Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,48,
24-06-2016,Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed Funding Round,1.18,
27-06-2016,Consumer Internet,Online counselling & Personal coaching platform,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding Round,9.6,
27-06-2016,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bangalore,Undisclosed investor,Seed Funding Round,0.8,
28-06-2016,Technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed investors,Seed Funding Round,2.4,
28-06-2016,Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding Round,2.36,
29-06-2016,E-commerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,0.8,
29-06-2016,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding Round,0.4,
29-06-2016,E-commerce,Online designer jewellery marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,12,
30-06-2016,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,200,
30-06-2016,Consumer Internet,Student focussed Content Discovery portal,Bangalore,Aarin Capital,Seed Funding Round,1.76,
30-06-2016,Food & Beverages,QSR Chain,Gurgaon,Carpediem Capital & Others,Private Equity,2.94,
01-05-2016,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding Round,1.16,
03-05-2016,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding Round,2,
03-05-2016,Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding Round,1.44,
04-05-2016,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding Round,1.6,
04-05-2016,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,96,
04-05-2016,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding Round,1.6,
04-05-2016,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding Round,1.6,
04-05-2016,E-commerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding Round,1.2,
04-05-2016,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding Round,4,
05-05-2016,Consumer Internet,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding Round,3,
06-05-2016,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,8,
07-05-2016,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding Round,0.6,
09-05-2016,Technology,Logistics Intelligence platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,22,
09-05-2016,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding Round,3.6,
09-05-2016,E-commerce,"Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding Round,2,
10-05-2016,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,144,
