Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name
10-06-2019,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding Round,3.44,Kuvera
10-06-2019,Fin-Tech,Financial Services,Haryana,Tiger Global Management,Series A,124,Medlife
06-06-2019,Fin-Tech,Online Lending Platform,New York,WestBridge Capital,Series B,416,Kabadiwala
08-06-2019,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,28.67,Tripoto
04-06-2019,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,27.2,Azah
06-05-2019,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,6.95,Toppr
01-05-2019,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation",Series D,1200,Unacademy
02-05-2019,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,400,Clevertap
28-05-2019,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,408,My Healthcare
28-05-2019,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Funding Round,1120,Krazybee
30-05-2019,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,92,Increff
16-04-2019,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,360,Nanoclean Global
12-04-2019,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,136,Oyorooms
10-04-2019,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport",Private Equity,3.45,Vyome Therapeutics Inc
13-04-2019,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,28.73,Samunnati Financial Intermediation & Services Pvt. Ltd
12-04-2019,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding Round,1.6,Manch
11-04-2019,Fin-Tech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding Round,28,Urbanclap Technologies Pvt. Ltd
10-04-2019,Ed-Tech,E-learning,Mumbai,Milestone,Debt Funding And Preference Capital,50.57,Guiddoo
10-04-2019,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,19.55,Career Anna
10-04-2019,Ed-Tech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed Funding Round,2.46,Nagpur Wholesale
11-04-2019,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,208,Shopkirana
19-04-2019,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,24,Buildsupply
19-04-2019,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt Funding,114.74,Godesi
17-04-2019,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,24,Mobile Premier League
08-02-2019,E-commerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1808,Milkbasket
13-02-2019,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4.8,Driveu
14-02-2018,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,800,Cleansecar
04-01-2019,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,176,Healthifyme
04-01-2019,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt Funding,40,Genius Corner
04-12-2018,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding Round,5.6,Aavishkaar-Intellecap Group
01-12-2018,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital,Series D,400,Signzy
